X,Y
0.25,0
0.180555555,0.013888889
0.3125,0.013888889
0.736111111,0.013888889
0.625,0.020833334
0.861111111,0.055555555
0.791666666,0.069444445
0.930555555,0.069444445
0.770833334,0.111111111
0.1875,0.125
0.743055555,0.125
0.986111111,0.166666666
0,0.173611111
0.638888889,0.191666666
0.652777778,0.191666666
0.85,0.208333334
0.347222223,0.215277778
0.513888889,0.215277778
0.930555555,0.222222223
0.715277778,0.243055555
0.902777778,0.266666666
0.218055555,0.270833334
0.340277778,0.270833334
0.152777778,0.291666666
0.673611111,0.291666666
0.819444445,0.298611111
0.448611111,0.302777778
0.5625,0.322222223
0.479166666,0.331944445
0.194444445,0.333333334
0.631944445,0.344444445
0.305555555,0.354166666
0.416666666,0.354166666
0.522222223,0.363888889
0.866666666,0.376388889
0.944444445,0.388888889
0.927777778,0.402777778
0.319444445,0.423611111
0.104166666,0.430555555
0.180555555,0.430555555
0.590277778,0.430555555
0.725,0.443055555
0.041666666,0.451388889
0.138888889,0.472222223
0.726388889,0.472222223
0.472222223,0.479166666
0.544444445,0.479166666
0.922222223,0.486111111
0.402777778,0.493055555
0.905555555,0.5
0.256944445,0.513888889
0.711111111,0.520833334
0.034722223,0.527777778
0.527777778,0.55
0.048611111,0.555555555
0.388888889,0.5625
0.131944445,0.569444445
0.423611111,0.583333334
0.125,0.611111111
0.270833334,0.618055555
0.573611111,0.622222223
0.361111111,0.659722223
0.548611111,0.673611111
0.777777778,0.706944445
0.034722223,0.715277778
0.243055555,0.715277778
0.159722223,0.743055555
0.451388889,0.756944445
0.340277778,0.770833334
0.516666666,0.777777778
0.090277778,0.8125
0.388888889,0.8125
0.201388889,0.826388889
0.816666666,0.847222223
0.577777778,0.854166666
0.069444445,0.861111111
0.444444445,0.868055555
0.305555555,0.875
0.854166666,0.875
0.208333334,0.895833334
0.5875,0.902777778
0.361111111,0.916666666
0.291666666,0.923611111
0.8125,0.9375
0.965277778,0.941666666
0.281944445,0.958333334
0.465277778,0.972222223
0.744444445,0.977777778
0.069444445,0.979166666
